dataset;filename;height;width;size
cvc-300;175.png;500;574;861000
cvc-300;159.png;500;574;861000
cvc-300;166.png;500;574;861000
cvc-300;171.png;500;574;861000
cvc-300;178.png;500;574;861000
cvc-300;180.png;500;574;861000
cvc-300;157.png;500;574;861000
cvc-300;181.png;500;574;861000
cvc-300;156.png;500;574;861000
cvc-300;179.png;500;574;861000
cvc-300;154.png;500;574;861000
cvc-300;161.png;500;574;861000
cvc-300;167.png;500;574;861000
cvc-300;177.png;500;574;861000
cvc-300;160.png;500;574;861000
cvc-300;169.png;500;574;861000
cvc-300;150.png;500;574;861000
cvc-300;162.png;500;574;861000
cvc-300;164.png;500;574;861000
cvc-300;176.png;500;574;861000
cvc-300;149.png;500;574;861000
cvc-300;170.png;500;574;861000
cvc-300;163.png;500;574;861000
cvc-300;172.png;500;574;861000
cvc-300;173.png;500;574;861000
cvc-300;152.png;500;574;861000
cvc-300;165.png;500;574;861000
cvc-300;158.png;500;574;861000
cvc-300;153.png;500;574;861000
cvc-300;168.png;500;574;861000
cvc-300;151.png;500;574;861000
cvc-300;185.png;500;574;861000
cvc-300;204.png;500;574;861000
cvc-300;196.png;500;574;861000
cvc-300;183.png;500;574;861000
cvc-300;195.png;500;574;861000
cvc-300;188.png;500;574;861000
cvc-300;197.png;500;574;861000
cvc-300;182.png;500;574;861000
cvc-300;208.png;500;574;861000
cvc-300;189.png;500;574;861000
cvc-300;206.png;500;574;861000
cvc-300;184.png;500;574;861000
cvc-300;200.png;500;574;861000
cvc-300;191.png;500;574;861000
cvc-300;201.png;500;574;861000
cvc-300;203.png;500;574;861000
cvc-300;207.png;500;574;861000
cvc-300;202.png;500;574;861000
cvc-300;194.png;500;574;861000
cvc-300;193.png;500;574;861000
cvc-300;205.png;500;574;861000
cvc-300;174.png;500;574;861000
cvc-300;186.png;500;574;861000
cvc-300;187.png;500;574;861000
cvc-300;190.png;500;574;861000
cvc-300;199.png;500;574;861000
cvc-300;198.png;500;574;861000
cvc-300;155.png;500;574;861000
cvc-300;192.png;500;574;861000
