dataset;filename;height;width;size
cvc-clinicdb;1.tif;288;384;110592
cvc-clinicdb;10.tif;288;384;110592
cvc-clinicdb;100.tif;288;384;110592
cvc-clinicdb;101.tif;288;384;110592
cvc-clinicdb;102.tif;288;384;110592
cvc-clinicdb;103.tif;288;384;110592
cvc-clinicdb;104.tif;288;384;110592
cvc-clinicdb;105.tif;288;384;110592
cvc-clinicdb;106.tif;288;384;110592
cvc-clinicdb;107.tif;288;384;110592
cvc-clinicdb;108.tif;288;384;110592
cvc-clinicdb;109.tif;288;384;110592
cvc-clinicdb;11.tif;288;384;110592
cvc-clinicdb;110.tif;288;384;110592
cvc-clinicdb;111.tif;288;384;110592
cvc-clinicdb;112.tif;288;384;110592
cvc-clinicdb;113.tif;288;384;110592
cvc-clinicdb;114.tif;288;384;110592
cvc-clinicdb;115.tif;288;384;110592
cvc-clinicdb;116.tif;288;384;110592
cvc-clinicdb;117.tif;288;384;110592
cvc-clinicdb;118.tif;288;384;110592
cvc-clinicdb;119.tif;288;384;110592
cvc-clinicdb;12.tif;288;384;110592
cvc-clinicdb;120.tif;288;384;110592
cvc-clinicdb;121.tif;288;384;110592
cvc-clinicdb;122.tif;288;384;110592
cvc-clinicdb;123.tif;288;384;110592
cvc-clinicdb;124.tif;288;384;110592
cvc-clinicdb;125.tif;288;384;110592
cvc-clinicdb;126.tif;288;384;110592
cvc-clinicdb;127.tif;288;384;110592
cvc-clinicdb;128.tif;288;384;110592
cvc-clinicdb;129.tif;288;384;110592
cvc-clinicdb;13.tif;288;384;110592
cvc-clinicdb;130.tif;288;384;110592
cvc-clinicdb;131.tif;288;384;110592
cvc-clinicdb;132.tif;288;384;110592
cvc-clinicdb;133.tif;288;384;110592
cvc-clinicdb;134.tif;288;384;110592
cvc-clinicdb;135.tif;288;384;110592
cvc-clinicdb;136.tif;288;384;110592
cvc-clinicdb;137.tif;288;384;110592
cvc-clinicdb;138.tif;288;384;110592
cvc-clinicdb;139.tif;288;384;110592
cvc-clinicdb;14.tif;288;384;110592
cvc-clinicdb;140.tif;288;384;110592
cvc-clinicdb;141.tif;288;384;110592
cvc-clinicdb;142.tif;288;384;110592
cvc-clinicdb;143.tif;288;384;110592
cvc-clinicdb;144.tif;288;384;110592
cvc-clinicdb;145.tif;288;384;110592
cvc-clinicdb;146.tif;288;384;110592
cvc-clinicdb;147.tif;288;384;110592
cvc-clinicdb;148.tif;288;384;110592
cvc-clinicdb;149.tif;288;384;110592
cvc-clinicdb;15.tif;288;384;110592
cvc-clinicdb;150.tif;288;384;110592
cvc-clinicdb;151.tif;288;384;110592
cvc-clinicdb;152.tif;288;384;110592
cvc-clinicdb;153.tif;288;384;110592
cvc-clinicdb;154.tif;288;384;110592
cvc-clinicdb;155.tif;288;384;110592
cvc-clinicdb;156.tif;288;384;110592
cvc-clinicdb;157.tif;288;384;110592
cvc-clinicdb;158.tif;288;384;110592
cvc-clinicdb;159.tif;288;384;110592
cvc-clinicdb;16.tif;288;384;110592
cvc-clinicdb;160.tif;288;384;110592
cvc-clinicdb;161.tif;288;384;110592
cvc-clinicdb;162.tif;288;384;110592
cvc-clinicdb;163.tif;288;384;110592
cvc-clinicdb;164.tif;288;384;110592
cvc-clinicdb;165.tif;288;384;110592
cvc-clinicdb;166.tif;288;384;110592
cvc-clinicdb;167.tif;288;384;110592
cvc-clinicdb;168.tif;288;384;110592
cvc-clinicdb;169.tif;288;384;110592
cvc-clinicdb;17.tif;288;384;110592
cvc-clinicdb;170.tif;288;384;110592
cvc-clinicdb;171.tif;288;384;110592
cvc-clinicdb;172.tif;288;384;110592
cvc-clinicdb;173.tif;288;384;110592
cvc-clinicdb;174.tif;288;384;110592
cvc-clinicdb;175.tif;288;384;110592
cvc-clinicdb;176.tif;288;384;110592
cvc-clinicdb;177.tif;288;384;110592
cvc-clinicdb;178.tif;288;384;110592
cvc-clinicdb;179.tif;288;384;110592
cvc-clinicdb;18.tif;288;384;110592
cvc-clinicdb;180.tif;288;384;110592
cvc-clinicdb;181.tif;288;384;110592
cvc-clinicdb;182.tif;288;384;110592
