dataset;filename;height;width;size
cvc-colondb;156.png;500;574;287000
cvc-colondb;191.png;500;574;287000
cvc-colondb;264.png;500;574;287000
cvc-colondb;195.png;500;574;287000
cvc-colondb;245.png;500;574;287000
cvc-colondb;249.png;500;574;287000
cvc-colondb;290.png;500;574;287000
cvc-colondb;276.png;500;574;287000
cvc-colondb;152.png;500;574;287000
cvc-colondb;161.png;500;574;287000
cvc-colondb;335.png;500;574;287000
cvc-colondb;311.png;500;574;287000
cvc-colondb;137.png;500;574;287000
cvc-colondb;265.png;500;574;287000
cvc-colondb;296.png;500;574;287000
cvc-colondb;256.png;500;574;287000
cvc-colondb;261.png;500;574;287000
cvc-colondb;160.png;500;574;287000
cvc-colondb;121.png;500;574;287000
cvc-colondb;275.png;500;574;287000
cvc-colondb;302.png;500;574;287000
cvc-colondb;257.png;500;574;287000
cvc-colondb;32.png;500;574;287000
cvc-colondb;343.png;500;574;287000
cvc-colondb;145.png;500;574;287000
cvc-colondb;326.png;500;574;287000
cvc-colondb;316.png;500;574;287000
cvc-colondb;283.png;500;574;287000
cvc-colondb;27.png;500;574;287000
cvc-colondb;62.png;500;574;287000
cvc-colondb;211.png;500;574;287000
cvc-colondb;288.png;500;574;287000
cvc-colondb;114.png;500;574;287000
cvc-colondb;193.png;500;574;287000
cvc-colondb;122.png;500;574;287000
cvc-colondb;357.png;500;574;287000
cvc-colondb;25.png;500;574;287000
cvc-colondb;297.png;500;574;287000
cvc-colondb;353.png;500;574;287000
cvc-colondb;281.png;500;574;287000
cvc-colondb;336.png;500;574;287000
cvc-colondb;132.png;500;574;287000
cvc-colondb;131.png;500;574;287000
cvc-colondb;361.png;500;574;287000
cvc-colondb;22.png;500;574;287000
cvc-colondb;271.png;500;574;287000
cvc-colondb;155.png;500;574;287000
cvc-colondb;228.png;500;574;287000
cvc-colondb;120.png;500;574;287000
cvc-colondb;162.png;500;574;287000
cvc-colondb;237.png;500;574;287000
cvc-colondb;148.png;500;574;287000
cvc-colondb;259.png;500;574;287000
cvc-colondb;110.png;500;574;287000
cvc-colondb;106.png;500;574;287000
cvc-colondb;207.png;500;574;287000
cvc-colondb;274.png;500;574;287000
cvc-colondb;197.png;500;574;287000
cvc-colondb;34.png;500;574;287000
cvc-colondb;23.png;500;574;287000
cvc-colondb;284.png;500;574;287000
cvc-colondb;199.png;500;574;287000
cvc-colondb;344.png;500;574;287000
cvc-colondb;187.png;500;574;287000
cvc-colondb;291.png;500;574;287000
cvc-colondb;185.png;500;574;287000
cvc-colondb;180.png;500;574;287000
cvc-colondb;318.png;500;574;287000
cvc-colondb;258.png;500;574;287000
cvc-colondb;11.png;500;574;287000
cvc-colondb;229.png;500;574;287000
cvc-colondb;251.png;500;574;287000
cvc-colondb;282.png;500;574;287000
cvc-colondb;117.png;500;574;287000
cvc-colondb;240.png;500;574;287000
cvc-colondb;247.png;500;574;287000
cvc-colondb;320.png;500;574;287000
cvc-colondb;181.png;500;574;287000
cvc-colondb;260.png;500;574;287000
cvc-colondb;305.png;500;574;287000
cvc-colondb;308.png;500;574;287000
cvc-colondb;273.png;500;574;287000
cvc-colondb;314.png;500;574;287000
cvc-colondb;253.png;500;574;287000
cvc-colondb;267.png;500;574;287000
cvc-colondb;147.png;500;574;287000
cvc-colondb;116.png;500;574;287000
cvc-colondb;301.png;500;574;287000
cvc-colondb;241.png;500;574;287000
cvc-colondb;153.png;500;574;287000
cvc-colondb;272.png;500;574;287000
cvc-colondb;123.png;500;574;287000
cvc-colondb;248.png;500;574;287000
cvc-colondb;130.png;500;574;287000
cvc-colondb;233.png;500;574;287000
