dataset;filename;height;width;size
kvasir-seg;cju302fqq9spc0878rrygyzzz.jpg;528;592;937728
kvasir-seg;cju35fxqyzt5p0993vusm54qz.jpg;531;613;976509
kvasir-seg;cju30bmab08bi0835mvlr6e0r.jpg;530;622;988980
kvasir-seg;cju1fyb1d69et0878muzdak9u.jpg;528;622;985248
kvasir-seg;cju1fuoa4wmc50835qfd11sp9.jpg;528;621;983664
kvasir-seg;cju2qvuj1s9ok0835tp2k4ozh.jpg;531;605;963765
kvasir-seg;cju30ywtc0oar0835bp2en7ec.jpg;1062;1348;4294728
kvasir-seg;cju1f320ewfyu0988ndz6blh5.jpg;530;571;907890
kvasir-seg;cju1alwgo30z60855fm3y23sm.jpg;529;622;987114
kvasir-seg;cju13hp5rnbjx0835bf0jowgx.jpg;531;622;990846
kvasir-seg;cju34m7h536wq0988xz7gx79v.jpg;531;617;982881
kvasir-seg;cju32jcdabepz0878d0cznmfe.jpg;530;622;988980
kvasir-seg;cju3xjqtpikx50817tppy6g84.jpg;530;622;988980
kvasir-seg;cju2hewssldzx0835ep795xu0.jpg;530;576;915840
kvasir-seg;cju2xbk0080y80801eghyddi2.jpg;529;621;985527
kvasir-seg;cju324q101fhe08350wae9cif.jpg;530;618;982620
kvasir-seg;cju18kevfrojc0835bn90f1in.jpg;528;621;983664
kvasir-seg;cju2qz06823a40878ojcz9ccx.jpg;530;603;958770
kvasir-seg;cju15mhjczc8z0801kit5c6di.jpg;546;624;1022112
kvasir-seg;cju40m0rjkpw80871z6n6yg1u.jpg;528;586;928224
kvasir-seg;cju40r6jrksyk0871wg98zgho.jpg;528;622;985248
kvasir-seg;cju3y54kwj3nr0801biidlb4e.jpg;546;620;1015560
kvasir-seg;cju1c4fcu40hl07992b8gj0c8.jpg;546;626;1025388
kvasir-seg;cju30qbm1ad3x0855znuhpz9u.jpg;529;622;987114
kvasir-seg;cju2zdhsczmn50988z64qwg2q.jpg;530;598;950820
kvasir-seg;cju0sxqiclckk08551ycbwhno.jpg;531;570;908010
kvasir-seg;cju2qqn5ys4uo0988ewrt2ip2.jpg;546;626;1025388
